"Monitoring_Site","Date","Temperature_C"
"309DAV",2016-08-17,20.2
"309SAL00L",2016-08-23,18.185
"309SAL00U",2016-08-23,19.115
"309BLA",2016-08-30,23.95
"309SSP",2016-08-30,22.9
"309SDD",2016-09-01,16.68
"309SDD",2016-09-07,16.5
"309SDD",2016-09-14,14.47
"309DAV",2016-09-21,20.075
"309SDD",2016-09-21,17.8
"309BLA",2016-09-27,22.75
"309SSP",2016-09-27,26.9
"309SAC",2016-09-28,18.4
"309SAG",2016-09-28,18.3
"309SDD",2016-09-28,15.75
"309DAV",2016-10-20,21.055
"309BLA",2016-10-25,23.05
"309SSP",2016-10-25,25.2
"309SDD",2016-11-16,15.275
"309DAV",2016-11-17,14.705
"309BLA",2016-11-28,17.2
"309SSP",2016-11-28,14.7
"309BLA",2016-12-13,17.2
"309SSP",2016-12-13,17.9
"309SAC",2016-12-14,14.8
"309SAG",2016-12-14,13.3
"309DAV",2016-12-15,14.27
"309SDD",2016-12-20,4.425
"309SSP",2017-01-12,13.1
"309SAC",2017-01-13,11
"309SAG",2017-01-13,10.95
"309DAV",2017-01-19,11.895
"309SDD",2017-01-24,13.1
"309BLA",2017-01-25,11.8
"309DAV",2017-02-16,15.51
"309SSP",2017-02-21,15.3
"309SDD",2017-02-22,11.4
"309BLA",2017-02-23,11.6
"309SDD",2017-03-08,14.295
"309SDD",2017-03-15,14.405
"309DAV",2017-03-20,15.865
"309SDD",2017-03-22,16.44
"309BLA",2017-03-28,20.25
"309SSP",2017-03-28,20.4
"309SAC",2017-03-29,14
"309SAG",2017-03-29,14.2
"309SDD",2017-04-12,14.79
"309DAV",2017-04-17,16.915
"309DAV",2017-04-18,16.273
"309BLA",2017-04-25,20.15
"309SAC",2017-04-26,16.95
"309SAG",2017-04-26,17.6
"309SSP",2017-04-26,16.85
"309DAV",2017-05-15,15.6696666666667
"309BLA",2017-05-30,19.55
"309SSP",2017-05-31,15.455
"309DAV",2017-06-13,19.9
"309PS0370",2017-06-13,18.4
"309DAV",2017-06-19,23.445
"309BLA",2017-06-27,21.85
"309SSP",2017-06-28,16.575
"309DAV",2017-07-24,18.635
"309BLA",2017-07-26,17.05
"309SAC",2017-07-26,22.225
"309SAG",2017-07-26,25.8
"309SSP",2017-07-26,21.25
"309DAV",2017-08-28,20.82
"309BLA",2017-08-29,18.85
"309SAG",2017-08-30,17.4
"309SSP",2017-08-30,18
"309DAV",2017-09-25,17.89
"309SAC",2017-09-27,21.55
"309SAG",2017-09-27,19.85
"309SSP",2017-09-27,14.95
"309BLA",2017-09-28,23.7
"309DAV",2017-10-19,14.295
"309BLA",2017-10-24,28.35
"309SAG",2017-10-24,34.5
"309SSP",2017-10-24,34.7
"309BLA",2017-11-29,17.25
"309DAV",2017-11-30,10.71
"309SAC",2017-11-30,9.9
"309SAG",2017-11-30,10.3
"309SSP",2017-11-30,4.5
"309SSP",2017-12-12,20.5
"309BLA",2017-12-13,4.65
"309DAV",2017-12-14,7.99
"309DAV",2018-01-25,13.665
"309SBR",2018-01-25,13.88
"309DAV",2018-02-22,13.03
"309SBR",2018-02-22,12.455
"309DAV",2018-03-22,16.195
"309SBR",2018-03-22,14.005
"309BLA",2018-04-25,12.6
"309SSP",2018-04-25,17.75
"309DAV",2018-04-26,18.745
"309SAC",2018-04-26,16.33
"309SBR",2018-04-26,18.255
"309DAV",2018-05-14,18.18
"309DAV",2018-05-21,16.732
"309DAV",2018-05-24,16.185
"309SAC",2018-05-24,16.975
"309SBR",2018-05-24,16.875
"309SAC",2018-05-29,22.9
"309SAG",2018-05-29,24.75
"309SSP",2018-05-29,24
"309BLA",2018-05-30,15.7
"309DAV",2018-06-05,22.32
"309SBR",2018-06-13,21.72
"309BLA",2018-06-26,22.6
"309SSP",2018-06-26,17.15
"309DAV",2018-06-28,23.6
"309SAC",2018-06-28,22.35
"309SBR",2018-06-28,19.51
"309DAV",2018-07-16,24.2
"309SAC",2018-07-25,22.925
"309SAG",2018-07-25,24.1
"309SSP",2018-07-25,21.72
"309BLA",2018-07-26,16.9
"309DAV",2018-07-26,24.17
"309SAC",2018-07-26,22.15
"309SBR",2018-07-26,20.23
"309DAV",2018-08-23,18.31
"309SAC",2018-08-23,20.61
"309SBR",2018-08-23,19.08
"309SSP",2018-08-28,18.6
"309BLA",2018-08-29,19.55
"309DAV",2018-09-17,21.17
"309SAC",2018-09-18,18.2
"309SAG",2018-09-18,16.5
"309SSP",2018-09-18,15.75
"309BLA",2018-09-19,20.3
"309DAV",2018-09-25,22.47
"309SBR",2018-09-25,18.375
"309SSP",2018-09-27,17.825
"309DAV",2018-10-15,17.345
"309SBR",2018-10-15,12.715
"309BLA",2018-10-30,19.5
"309SSP",2018-10-30,18.5
"309DAV",2018-11-20,16.675
"309SBR",2018-11-20,15.825
"309DAV",2018-11-26,14.659
"309BLA",2018-11-29,15.55
"309SAC",2018-11-30,16.3
"309SAG",2018-11-30,18.3
"309SSP",2018-11-30,12.3
"309DAV",2018-12-04,15.275
"309DAV",2018-12-05,13.15
"309SBR",2018-12-11,18.2
"309SSP",2018-12-18,14.3
"309BLA",2018-12-19,16.35
"309DAV",2019-01-07,16.595
"309SAG",2019-01-17,14.3
"309BLA",2019-01-18,17.5
"309SAC",2019-01-18,16
"309SSP",2019-01-18,18.4
"309SSP",2019-02-26,14.5
"309BLA",2019-02-27,17.85
"309SAC",2019-03-27,18.75
"309SAG",2019-03-27,18.15
"309SSP",2019-03-27,16.9
"309BLA",2019-03-28,14.75
"309DAV",2019-03-28,19.61
"309DAV",2019-04-18,24.24
"309SAC",2019-04-23,23.6
"309SAG",2019-04-23,23.9
"309SSP",2019-04-23,22.15
"309BLA",2019-04-24,18.1
"309DAV",2019-05-13,23.1
"309BLA",2019-05-14,17.9
"309SSP",2019-05-14,20.15
"309DAV",2019-05-16,19.665
"309DAV",2019-06-05,26.28
"309DAV",2019-06-13,20.78
"309SSP",2019-06-26,21.75
"309BLA",2019-06-27,18.05
"309DAV",2019-07-09,25.975
"309DAV",2019-07-16,24.17
"309SAC",2019-07-24,26
"309SAG",2019-07-24,31.8
"309SSP",2019-07-24,25.55
"309BLA",2019-07-25,18.65
"309DAV",2019-08-28,25.39
"309BLA",2019-08-29,24.9
"309SSP",2019-08-29,20.25
"309DAV",2019-09-16,23.2
"309BLA",2019-09-17,22.25
"309DAV",2019-09-18,22.33
"309SAC",2019-09-18,13.5
"309SAG",2019-09-18,16.7
"309SSP",2019-09-19,22.25
"309DAV",2019-10-16,20.03
"309DAV",2019-11-13,15.94
"309DAV",2019-12-18,16.835
"309DAV",2020-01-06,16.87
"309DAV",2020-02-05,17.8
"309DAV",2020-03-04,23.64
"309DAV",2020-06-22,22.64
"309DAV",2020-08-19,22.5
"309DAV",2020-09-23,16.4
"309DAV",2021-01-28,8.2
"309DAV",2021-03-24,12.5
"309DAV",2021-05-19,16.7
"309DAV",2021-06-09,17.56
"309DAV",2021-07-14,19.8
"309DAV",2021-09-22,19.62
"309DAV",2021-10-25,15.3
"309DAV",2022-03-29,16.88
"309DAV",2022-04-20,22.425
"309DAV",2022-05-18,20.5733333333333
"309DAV",2022-05-25,18.079
"309DAV",2022-06-08,23.045
"309DAV",2022-06-09,18.643
"309DAV",2022-07-20,18.15
"309DAV",2022-07-28,24.085
"309DAV",2022-08-24,22.155
"309DAV",2022-09-15,23.93
"309DAV",2022-09-19,12.85
"309DAV",2022-10-13,21.865
"309DAV",2022-11-10,18.325
